iso3c,iso2c,country,year,sp_ado_tfrt,sh_sta_brtc_zs,sl_fam_work_fe_zs,sl_fam_work_ma_zs,sl_emp_mpyr_fe_zs,sl_emp_mpyr_ma_zs,sl_agr_empl_fe_zs,sl_agr_empl_ma_zs,sl_ind_empl_fe_zs,sl_ind_empl_ma_zs,sl_srv_empl_fe_zs,sl_srv_empl_ma_zs,sl_emp_totl_sp_fe_zs,sl_emp_totl_sp_ma_zs,sl_emp_1524_sp_fe_zs,sl_emp_1524_sp_ma_zs,sp_dyn_tfrt_in,sl_tlf_cact_fe_zs,sl_tlf_cact_ma_zs,sl_tlf_totl_fe_zs,sp_dyn_le00_fe_in,sp_dyn_le00_ma_in,sh_mmr_risk_zs,sh_mmr_risk,sh_sta_mmrt,sh_sta_mmrt_ne,sp_dyn_amrt_fe,sp_dyn_amrt_ma,sh_hiv_1524_fe_zs,sh_hiv_1524_ma_zs,se_prm_cmpt_fe_zs,se_prm_cmpt_ma_zs,se_prm_enrl_fe_zs,se_prm_tchr_fe_zs,sg_gen_parl_zs,se_pre_enrr_fe,se_pre_enrr_ma,se_enr_prim_fm_zs,se_enr_prsc_fm_zs,se_prm_enrr_fe,se_prm_enrr_ma,se_enr_seco_fm_zs,se_sec_enrr_fe,se_sec_enrr_ma,se_sec_enrl_gc_fe_zs,se_sec_enrl_fe_zs,se_sec_tchr_fe_zs,sl_emp_self_fe_zs,sl_emp_self_ma_zs,sp_dyn_to65_fe_zs,sp_dyn_to65_ma_zs,sl_uem_totl_fe_zs,sl_uem_totl_ma_zs,sl_uem_1524_fe_zs,sl_uem_1524_ma_zs,sl_emp_vuln_fe_zs,sl_emp_vuln_ma_zs,sl_emp_work_fe_zs,sl_emp_work_ma_zs,sg_law_indx,sh_dyn_aids_fe_zs
VCT,VC,St. Vincent and the Grenadines,2008,66.564,99.2,3.15151515151515,2.0497803806735,2.96681096681097,5.68006907684799,6.54545454545454,17.8023050643841,7.4978354978355,29.853211698014,85.95670995671,52.3444832376018,43.809,63.632,22.704,39.393,2.15,52.531,79.691,38.3758520680546,73.333,68.25,0.116250379453937,860,56,NA,129.869,198.302,0.5,0.3,110.14924621582,113.087562561035,47.38604,86.5720520019531,18.1818181818182,NA,NA,0.932569980621338,1.00982999801636,105.929763793945,109.441543579102,1.12288999557495,117.714179992676,100.652412414551,52.28932,52.28932,62.8762512207031,21.5411255411255,27.7058227277847,79.100808,69.821916,16.603,20.152,38.78,40.553,18.5743145743145,22.0257536509367,78.4588744588745,72.2941772722153,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2009,68.471,98.9,3.24757729580065,2.0992222306124,2.98223350253807,5.57275541795666,6.33940932164283,17.5790983916031,7.38347946469774,29.6269727403156,86.2771112136595,52.7939288680813,43.761,63.06,21.863,38.632,2.174,52.778,79.613,38.4713047638324,73.473,68.336,0.117522262788313,851,56,NA,131.15,197.01,0.4,0.3,NA,NA,47.78322,78.1569976806641,21.7391304347826,84.3786315917969,84.3553009033203,0.95304000377655,0.994780004024506,105.650299072266,107.825477600098,1.05043005943298,116.112533569336,106.380638122559,50.4272,50.4272,50.1128692626953,21.7581910475311,27.8524503511289,79.113932,69.967691,17.084,20.792,40.146,41.796,18.7759575449931,22.2796949331722,78.2418089524689,72.1475496488711,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2010,66.966,98.3,3.34279589826777,2.16491321356679,3.00098487920746,5.47685062098826,6.15839175018829,17.3610847354628,7.25334569260182,29.2377226632231,86.5882625572099,53.4011926013141,43.543,62.528,20.975,38.163,2.144,52.809,79.561,38.4554622774951,73.534,68.217,0.119686559157165,836,59,NA,134.344,200.377,0.4,0.3,98.1347198486328,96.4049224853516,47.66193,77.9030380249023,14.2857142857143,NA,NA,0.949169993400574,0.991900026798248,105.34375,108.237823486328,1.04855000972748,115.479309082031,106.19995880127,50.07877,50.07877,64.6766169154229,22.0091535832223,28.0603137225113,78.911041,69.496589,17.546,21.409,41.448,42.917,19.0023752969121,22.583463101523,77.9908464167777,71.9396862774887,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2011,64.109,98.8,3.44887248399562,2.23331681847631,3.02785627775535,5.39273600365868,5.96920237614626,17.0776325317276,7.11690408904781,29.0521742444453,86.9138935348059,53.8740043446778,43.767,62.24,20.728,37.99,2.076,53.128,79.295,38.6346531563779,73.665,68.051,0.11493449537085,870,59,57.3,136.785,205.369,0.4,0.2,98.2328491210938,80.0943374633789,48.70912,78.998778998779,17.3913043478261,NA,NA,0.984619975090027,0.97707998752594,102.990509033203,101.827369689941,0.967639982700348,108.105308532715,108.490028381348,NA,47.72582,66.7692307692308,22.2504181325336,28.2289721407066,78.840062,68.912213,17.62,21.508,41.857,43.182,19.2283292000692,22.8362361370479,77.7438145221754,71.7710278592934,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2012,64.686,99.2,3.54670785424175,2.29994660157144,3.03758366226188,5.31314364177283,5.80058349064699,16.7327790067892,7.0304902465534,28.9724616675566,87.1689262627996,54.2947593256541,44.158,62.17,20.7,37.985,2.113,53.515,79.022,38.8644285452211,73.777,67.864,0.121322003211283,824,61,53.5,139.318,210.529,0.4,0.2,103.125,98.716682434082,48.49033,80.1596351197263,17.3913043478261,NA,NA,0.97393000125885,0.985759973526001,109.142761230469,109.395660400391,1.00019001960754,107.489356994629,104.355430603027,NA,48.48834,65.8823529411765,22.4472284194268,28.3278663513617,78.744651,68.295266,17.484,21.326,41.852,43.016,19.409644757165,23.0147227095888,77.5527715805732,71.6721336486383,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2013,64.05,99,3.64992372450421,2.36094742044634,3.03406972145319,5.23514428012014,5.62743657833776,16.393567273695002,7.00039550257077,29.141162605026,87.3721679190915,54.4652701212789,44.726,62.394,20.848,38.24,2.106,53.95,78.787,39.1297972948206,73.626,67.221,0.14144516580654,707,73,115.1,151.666,223.012,0.4,0.2,108.719650268555,111.904762268066,48.13726,80,13.0434782608696,82.7685165405273,81.854606628418,0.961700022220612,0.974259972572327,109.62181854248,112.156356811523,0.990069985389709,110.041656494141,107.521499633789,NA,48.28747,64.4475920679887,22.5944968642296,28.3541801315439,77.865404,66.97694,17.097,20.807,41.413,42.327,19.5547771060512,23.1190358514238,77.4055031357704,71.6458198684561,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2014,64.473,99.9,3.74256536864549,2.41849482023157,3.02435192458759,5.16834247410116,5.45954438334643,16.1106032906764,6.89036022893054,28.8886349786715,87.650095387723,55.000761730652,45.062,62.329,20.769,38.168,2.141,54.296,78.583,39.3462447551166,73.955,67.424,0.126113826987348,793,64,54.3,144.678,221.382,0.4,0.2,105.780349731445,105.901641845703,48.67059,80.2570093457944,13.0434782608696,72.3804092407227,71.7280502319336,0.984149992465973,0.992709994316101,111.747611999512,112.320732116699,1.00353002548218,113.528747558594,109.400123596191,NA,48.68497,65.5223880597015,22.7864437212434,28.4468312004875,78.487054,66.958071,17.006,20.684,41.514,42.251,19.7564807541241,23.2822973796466,77.2135562787566,71.5493601462523,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2015,61.413,98.7,3.82218760431735,2.45979909094381,3.00433960164682,5.09911768076086,5.32435740514076,15.717505060922,6.88772671636809,29.2120239868607,87.7823522866363,55.0704709522173,45.47,62.213,20.775,37.946,2.133,54.737,78.336,39.6241964727213,74.283,67.401,0.116312211553038,860,59,0,137.054,224.548,0.4,0.2,109.401710510254,105.944061279297,48.84748,81.8283166109253,13.0434782608696,99.3413162231445,101.202651977539,0.990729987621307,0.997340023517609,113.493309020996,113.406341552734,1.00571000576019,116.049102783203,112.162452697754,NA,48.7167,66.7153284671533,22.9108712584845,28.4557503533097,79.461356,66.868492,16.93,20.582,41.595,42.245,19.9065316568377,23.3566326725488,77.0891287415155,71.5442496466903,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2016,58.779,98.6,3.91055298523904,2.49664429530201,2.97422339722406,5.03547459252157,5.16633619740031,15.4093959731544,6.84071381361533,29.3231064237776,87.9984578100903,55.2674976030681,45.981,62.068,20.81,37.595,2.055,55.3,78.051,39.9729071704468,73.654,68.254,0.0980450106339487,1020,52,57.3,146.118,221.635,0.4,0.2,114.193550109863,109.68522644043,48.87321,82.7092511013216,13.0434782608696,105.64070892334,109.158416748047,0.989359974861145,1.00497996807098,113.357971191406,113.20565032959,1.02521002292633,NA,NA,NA,49.05604,67.7053824362606,23.0337078651685,28.4410354745925,77.735571,67.192531,16.853,20.478,41.69,42.291,20.0594844679444,23.4055608820709,76.9662921348315,71.5627996164909,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2017,56.256,NA,3.98467432950192,2.52930289944479,2.93377120963328,4.96992597162245,5.02463054187192,15.0909932140654,6.79255610290093,29.4995373226403,88.1773399014778,55.4133251079581,46.351,61.897,20.544,37.286,1.94,55.748,77.841,40.2513188745604,74.177,68.448,0.102587765044173,975,58,207.9,140.389,223.152,0.4,0.2,103.557312011719,105.425399780273,49.0327,83.9779005524862,13.0434782608696,109.805122375488,108.169532775879,0.98470002412796,0.991419970989227,113.284851074219,112.812232971191,0.999689996242523,NA,NA,48.28439,48.28439,67.6136363636364,23.0541871921182,28.3274213448489,78.97786,67.422193,16.858,20.483,42.086,42.542,20.1204159824849,23.3574953732264,76.9458128078818,71.6764342998149,68.125,NA
