iso3c,iso2c,country,year,sp_ado_tfrt,sh_hiv_incd_tl,sh_hiv_incd,sp_pop_dpnd,sp_pop_dpnd_yg,sh_hiv_artc_zs,sp_dyn_cbrt_in,sh_sta_brtc_zs,sh_xpd_chex_gd_zs,sh_xpd_chex_pc_cd,sh_xpd_chex_pp_cd,sp_dyn_cdrt_in,sh_xpd_ghed_gd_zs,sh_xpd_ghed_ch_zs,sh_xpd_ghed_ge_zs,sh_xpd_ghed_pc_cd,sh_xpd_ghed_pp_cd,sh_xpd_pvtd_ch_zs,sh_xpd_pvtd_pc_cd,sh_xpd_pvtd_pp_cd,sh_xpd_ehex_ch_zs,sh_xpd_ehex_pc_cd,sh_xpd_ehex_pp_cd,sp_dyn_tfrt_in,sh_imm_idpt,sh_imm_hepb,sh_imm_meas,sh_hiv_incd_yg_p3,sh_hiv_incd_zs,sh_hiv_incd_tl_p3,sh_tbs_incd,sp_dyn_le00_fe_in,sp_dyn_le00_ma_in,sp_dyn_le00_in,sh_mmr_risk_zs,sh_mmr_risk,sh_sta_brtw_zs,sh_sta_mmrt,sh_sta_mmrt_ne,sh_sta_traf_p5,sh_dyn_ncom_zs,sh_dyn_ncom_fe_zs,sh_dyn_ncom_ma_zs,sh_sta_pois_p5,sh_sta_pois_p5_fe,sh_sta_pois_p5_ma,sp_dyn_amrt_fe,sp_dyn_amrt_ma,sp_dyn_imrt_in,sp_dyn_imrt_fe_in,sp_dyn_imrt_ma_in,sh_dyn_nmrt,sh_dyn_mort,sh_dyn_mort_fe,sh_dyn_mort_ma,sm_pop_netm,sh_dth_imrt,sh_mmr_dths,sh_dth_nmrt,sh_dth_mort,sh_xpd_oopc_ch_zs,sh_xpd_oopc_pc_cd,sh_xpd_oopc_pp_cd,sh_sta_odfc_zs,sh_sta_odfc_ru_zs,sh_sta_odfc_ur_zs,sh_h2o_basw_zs,sh_h2o_basw_ru_zs,sh_h2o_basw_ur_zs,sh_sta_bass_zs,sh_sta_bass_ru_zs,sh_sta_bass_ur_zs,sp_pop_0014_to_zs,sp_pop_0014_fe_in,sp_pop_0014_fe_zs,sp_pop_0014_ma_in,sp_pop_0014_ma_zs,sp_pop_0014_to,sp_pop_0004_fe_5y,sp_pop_0004_ma_5y,sp_pop_0509_fe_5y,sp_pop_0509_ma_5y,sp_pop_1014_fe_5y,sp_pop_1014_ma_5y,sp_pop_1519_fe_5y,sp_pop_1519_ma_5y,sp_pop_1564_to_zs,sp_pop_1564_fe_in,sp_pop_1564_fe_zs,sp_pop_1564_ma_in,sp_pop_1564_ma_zs,sp_pop_1564_to,sp_pop_2024_fe_5y,sp_pop_2024_ma_5y,sp_pop_2529_fe_5y,sp_pop_2529_ma_5y,sp_pop_3034_fe_5y,sp_pop_3034_ma_5y,sp_pop_3539_fe_5y,sp_pop_3539_ma_5y,sp_pop_4044_fe_5y,sp_pop_4044_ma_5y,sp_pop_4549_fe_5y,sp_pop_4549_ma_5y,sp_pop_5054_fe_5y,sp_pop_5054_ma_5y,sp_pop_5559_fe_5y,sp_pop_5559_ma_5y,sp_pop_6064_fe_5y,sp_pop_6064_ma_5y,sp_pop_65up_to_zs,sp_pop_65up_fe_in,sp_pop_65up_fe_zs,sp_pop_65up_ma_in,sp_pop_65up_ma_zs,sp_pop_65up_to,sp_pop_6569_fe_5y,sp_pop_6569_ma_5y,sp_pop_7074_fe_5y,sp_pop_7074_ma_5y,sp_pop_7579_fe_5y,sp_pop_7579_ma_5y,sp_pop_80up_fe_5y,sp_pop_80up_ma_5y,sp_pop_grow,sp_pop_totl_fe_in,sp_pop_totl_fe_zs,sp_pop_totl_ma_in,sp_pop_totl_ma_zs,sp_pop_totl,sh_hiv_1524_fe_zs,sh_hiv_1524_ma_zs,sh_dyn_aids_zs,sh_anm_chld_zs,sh_anm_nprg_zs,sh_prg_anem,sh_anm_allw_zs,sh_sta_owgh_me_zs,sh_sta_stnt_me_zs,sn_itk_defc_zs,sp_pop_brth_mf,sh_sta_suic_p5,sh_sta_suic_fe_p5,sh_sta_suic_ma_p5,sp_dyn_to65_fe_zs,sp_dyn_to65_ma_zs,sh_alc_pcap_li,sh_alc_pcap_fe_li,sh_alc_pcap_ma_li,sh_tbs_dtec_zs,sh_tbs_cure_zs,sh_dyn_aids_fe_zs,sh_hiv_incd_yg
LCA,LC,St. Lucia,2022,28.551,100,100,37.3336918113381,24.9692733138731,NA,11.417,NA,4.74750614,622.07244873,1167.78519690344,8.455,2.25815845,47.5651474,9.877491,295.8896631,555.458719873766,44.64971542,277.75357304,521.412753998324,7.78514147,48.42921932,90.9137273870219,1.387,81,81,81,0.33,0.32,0.19,1.1,76.304,69.269,72.67,0.06097030674970929,1640,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,92.214,193.387,14.4,13.1,15.7,10.2,15.8,14.3,17.2,0,30,1,21,32,37.82567978,235.30313286,441.722686731735,6.18915648007704,7.14680060414657,2.11979700532606,97.8739462216036,97.9954303649707,97.3577124565603,83.3579905079804,84.2801346508769,79.4394780245849,18.1814622359199,15973,17.6798729364627,16532,18.693919090832,32505,5.6232256207906,5.90563424080513,5.76489925123273,6.04641958555961,6.29174806443937,6.74186526446725,6.88445297929683,7.37568201735787,72.8153439123844,65213,72.1793942345473,64967,73.4650722302321,130180,7.99238504236374,8.36004862465722,8.82748468430577,9.37720860543352,8.35044300680144,8.71286009102988,7.94257790666143,7.9501314561954,7.15673198780279,7.36211234557431,6.90714289667233,6.8928278630594,6.7909262467002796,6.60503774064965,6.27680592372867,6.1057868996127,5.05044356021406,4.72337658666214,9.00319385169565,9162,10.14073282899,6934,7.84100867893591,16096,3.63979479460091,3.24145534729879,2.66689541054915,2.12195742515478,1.93528392834413,1.40389562660786,1.89875869549577,1.07370027987448,0.144975018605125,90348,50.5358481278876,88433,49.4641518721124,178781,0.2,0.1,0.4,NA,19.2,25.3,19.3,6.6,2.7,NA,1.031,NA,NA,NA,84.417774,70.073221,NA,NA,NA,100,50,NA,100
LCA,LC,St. Lucia,2023,27.829,100,100,37.3031797573827,24.5366683004534,NA,11.262,NA,4.7298274,641.07495117,1228.46316887421,8.614,2.38351178,50.39321136,9.78612041,323.0582513,619.06201593032,44.57860947,285.78228964,547.631764953329,5.02818251,32.23441664,61.769364713719,1.379,74,74,85,0.33,0.32,0.19,1.1,76.304,69.311,72.697,0.0559020919911777,1789,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,92.32,192.836,14.3,12.9,15.5,10,15.5,14.1,16.9,0,29,1,20,32,37.14485931,238.1263907,456.310906394917,NA,NA,NA,98.0966876683617,98.2403,97.4912380517975,NA,NA,NA,17.8702007145068,15773,17.3930782760199,16266,18.3585593516857,32039,5.55160417045724,5.84092371245725,5.72969217791157,6.01981963679048,6.11178192765106,6.49781600243795,6.73757105601226,7.2433097439023,72.8317283423832,65417,72.1361187841496,65159,73.5437194550729,130576,7.74159044169134,8.13891804647908,8.68606337286556,9.19649205972979,8.44456941848476,8.9284303434576,7.97260863092777,7.99896161356223,7.28231084351964,7.44985835054572,6.85831803320266,6.92502172710753,6.78994988173412,6.57118026162823,6.37147063201945,6.18742875201752,5.25166647369204,4.90411855664285,9.29807094310997,9496,10.4708029398305,7175,8.09772119324146,16670,3.82365427769599,3.40410162642919,2.73252063450055,2.16763168884525,1.97826554410573,1.42891003284461,1.93636248352824,1.09707784512241,0.281512532799571,90686,50.5820341913713,88599,49.4179658086287,179285,0.2,0.1,0.4,NA,19.7,25.4,19.9,6.7,2.8,NA,1.031,NA,NA,NA,84.410728,70.153438,NA,NA,NA,100,50,NA,100
LCA,LC,St. Lucia,2024,NA,100,100,37.2759418651718,24.0741730756012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,83,0.33,0.33,0.19,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.0956816576068,98.2403,97.4912380517975,NA,NA,NA,17.5369345762156,15542,17.079027038313,15980,18.0064906527839,31522,5.48238745940956,5.77848393676121,5.68458415063654,5.98469738458245,5.91205542826688,6.24330933144023,6.6417217487816,7.16788929831085,72.8463059860301,65604,72.0913621353729,65333,73.6204545710648,130937,7.47798089021489,7.92456869837621,8.50929390497855,8.95563593748239,8.54940357470564,9.1269170526126,7.99610991148401,8.07556652355679,7.43512398283526,7.54369358709983,6.82468777644079,6.96505639881456,6.77249026104252,6.55037580428879,6.43677781990209,6.23091398758212,5.44777226498756,5.07983728294063,9.61675943775436,9855,10.8296108263141,7431,8.37305477615136,17286,4.02085702825809,3.56478820864744,2.81097356607931,2.2390498405508,2.01647243696463,1.44574783363195,1.98130779501212,1.12346889332116,0.255689791113258,91001,50.6281155421043,88743,49.3718844578957,179744,0.2,0.1,0.4,NA,NA,NA,NA,6.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100
LCA,LC,St. Lucia,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2000,40.517,NA,NA,49.1077198389422,43.4209872247353,NA,25.955,NA,NA,NA,NA,3.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.876,NA,NA,NA,NA,NA,NA,NA,80.806,73.35,76.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.572,114.582,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.1705072850435,NA,99.1705072850435,29.1205494065875,4344,28.026196928636,4392,30.2903848806732,8735,9.1753774680604,10.5359359911712,9.60769131500839,10.1634708235619,9.24312814556717,9.59097806594013,7.53000387146729,7.43895709753069,67.0656087478331,10535,67.9732868757259,9583,66.0953234928956,20117,6.3395276809911,5.72837632776935,8.66240805265195,7.48034211615395,10.7691315008388,9.55993930197269,10.1851851851852,10.2186508483929,8.62369337979094,8.34942750724238,6.32984901277584,6.45951165678025,4.46831849270874,4.99034349565457,3.15524583817267,3.67981790591806,1.90992386114337,2.18995723548076,3.81384184557941,620,4.00051619563815,524,3.61429162643123,1144,1.28403664989031,1.37950062077528,0.909794812233837,0.865636639536488,0.858175248419151,0.72768657745896,0.948509485094851,0.641467788660505,2.40227476547467,15498,51.6668889185225,14498,48.3331110814775,29996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,90.604675,79.956342,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2001,40.047,NA,NA,49.1622276029056,43.4188861985472,NA,25.597,NA,NA,NA,NA,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.897,NA,NA,NA,NA,NA,NA,NA,80.998,73.568,77.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.405,112.088,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.1705072850435,NA,99.1705072850435,29.1087051796062,4464,27.9545312206426,4503,30.3508239813972,8966,9.6574184255026,11.0470798368888,9.2597231790568,9.93832777272268,9.03738961608317,9.3654163717858,7.76288595227657,7.72756377851919,67.0394598016459,10859,68.0121500594977,9791,65.9926532537998,20650,6.51343395753742,5.89424729552118,8.02592847748481,6.8412361405992,10.393311204359,9.08570080544603,10.2085551449865,10.0259495163954,8.67414041460512,8.57345061166717,6.52282833343772,6.60196137903144,4.6001127325108,5.07532099888788,3.31308323417048,3.81154584976241,1.99787060812927,2.35567687796987,3.85183501874787,644,4.03331871985971,542,3.65652276480302,1186,1.34652721237552,1.42553836821353,0.898728627794827,0.909918107370337,0.848625289659924,0.667273278738247,0.939437590029436,0.653793010480909,2.65480483944633,15967,51.8358601434925,14836,48.1641398565075,30803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,90.802352,80.352027,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2002,38.469,NA,NA,49.2914501653283,43.4718941898914,NA,25.135,NA,NA,NA,NA,3.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.896,NA,NA,NA,NA,NA,NA,NA,81.177,73.783,77.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.328,109.65,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.1705072850435,NA,99.1705072850435,29.1197316795342,4588,27.9134852310407,4615,30.4268996208999,9203,10.0903477017613,11.4521180154937,8.93134183068172,9.79067084226141,8.89179569859763,9.18411076314488,7.77841997992273,7.81935058513268,66.9836096696621,11179,68.0163051744593,9990,65.8645129388495,21170,6.76543059653819,6.174386022746,7.5533112280595,6.31943299818691,9.9534572445472,8.58744025053568,10.1998600675326,9.79396736443053,8.74273720074225,8.77534201417504,6.68938034253034,6.72820174715675,4.74857786025005,5.19531893851986,3.45572354211663,3.93275094775012,2.12940711221975,2.53832207021592,3.8966586508037,669,4.07020959450005,563,3.70858744025054,1232,1.3749885924619,1.45706279874732,0.924771088735436,0.969177517718807,0.809174702643507,0.62304268996209,0.961275210659204,0.659304433822317,2.56716070268805,16436,52.0060751803569,15168,47.9939248196431,31604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,90.98506,80.739746,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2003,36.656,NA,NA,49.5130844140859,43.5916370517377,NA,24.553,NA,NA,NA,NA,3.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.872,NA,NA,NA,NA,NA,NA,NA,81.35,73.994,77.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.31,107.269,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.1705072850435,NA,99.1705072850435,29.1557339095539,4718,27.9126859711911,4727,30.5122494432071,9445,10.4587535863232,11.7362254284884,8.6219645656482,9.70272102256222,8.83196781921974,9.07330299215648,7.63997752077849,7.76927794454666,66.8853218089211,11489,67.9671093495815,10178,65.7047868048159,21667,7.00700996776007,6.44911397308028,7.25250672897749,6.02304638326716,9.48859771066876,8.0339562957942,10.1304386405987,9.51550950582615,8.84379898843503,8.97969723378845,6.85024697565737,6.81062586746716,4.88923067822178,5.35489493560569,3.58780206453903,4.03795874891062,2.27750007394481,2.73070591652949,3.95894428152493,696,4.12020467922743,586,3.78296375197702,1283,1.41086692892425,1.4944643491172,0.95536691413529,1.01675220296311,0.763110414386702,0.606823537006552,0.990860421781183,0.664923662890159,2.47203950414339,16904,52.1808921129804,15491,47.8191078870196,32395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,91.158039,81.119611,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2004,33.85,NA,NA,49.8170814326363,43.7288288695181,NA,23.849,NA,NA,NA,NA,3.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.827,NA,NA,NA,NA,NA,NA,NA,81.521,74.203,77.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.313,104.944,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.1705072850435,NA,99.1705072850435,29.1881462723463,4844,27.8951914771091,4838,30.6086296343161,9682,10.5154045493809,11.6917626217892,8.56896055283617,9.85701632291535,8.81082637489203,9.05985068961154,7.44313273826663,7.64899405289131,66.748063067137,11796,67.9297437374028,10345,65.4498291787929,22141,7.16959401094155,6.63988358851069,7.12064497552548,5.91863849171201,9.03829542182551,7.46235606731621,10.0115174200979,9.1674047829938,8.94615606104233,9.18322156143237,7.0054707745465,6.91825888902948,5.01871580765909,5.50423889662154,3.71148862654765,4.12185246109073,2.46472790095019,2.88498038719474,4.0637906605167204,725,4.17506478548805,623,3.94154118689105,1348,1.43967751223726,1.61963811210933,1.01353296861503,1.03441730988232,0.716959401094155,0.616854359104138,1.00489490354161,0.670631405795268,2.3671910326453802,17365,52.3499442283923,15806,47.6500557716077,33171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,91.327388,81.491453,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2005,32.202,NA,NA,50.070771408351,43.7544232130219,NA,23.141,NA,NA,NA,NA,3.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.779,NA,NA,NA,NA,NA,NA,NA,81.692,74.407,77.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.334,102.691,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.2217301839164,NA,99.2217301839164,29.1558594671068,4951,27.7880675759106,4941,30.6684873688784,9892,10.2233821631027,11.3307677983986,8.78935847785822,10.2166221836013,8.77532693494977,9.12109738687853,7.28798338665319,7.51660356278319,66.6352275406744,12107,67.9547623056631,10500,65.175966730805,22608,7.20098782062075,6.74694308236609,7.1196048717517,5.95555831419527,8.60975472862996,6.95797902054497,9.84453050457428,8.74868102538638,9.0671830274457,9.27627087083359,7.16450580905876,7.13487679225374,5.17483302463939,5.60176277077773,3.81938597968233,4.23002917261498,2.66599315260706,3.0072621190491,4.20891299221882,758,4.25717011842622,669,4.15554590031655,1428,1.46208677106135,1.78759853516231,1.08042880395128,1.05207622121532,0.681932985351069,0.651728632611259,1.03272155806252,0.664142511327665,2.25646319439153,17817,52.5141476066965,16111,47.4858523933035,33928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,91.494052,81.852703,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2006,30.145,NA,NA,50.1581387288246,43.5639703652355,NA,22.291,NA,NA,NA,NA,3.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.711,NA,NA,NA,NA,NA,NA,NA,81.858,74.605,77.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.395,100.524,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.2729530827894,NA,99.2729530827894,29.0120607074846,5031,27.557308355928,5024,30.6313446940829,10055,9.82115958699641,10.895344937963,9.03513816996686,10.5051367252995,8.70101059896475,9.23086303082035,7.28233779749678,7.45663506386611,66.5964568065093,12422,68.0415194588229,10659,64.9879584184373,23081,7.03858899570016,6.70670365515349,7.20565278120121,6.12443983781971,8.24363925177334,6.56342407706612,9.63218579683948,8.3041185257446,9.19672445430395,9.22781452915892,7.34806781146441,7.42615004725178,5.32960863254183,5.70069810688047,3.93010708514776,4.36545437917264,2.83460685235396,3.11252019632351,4.39148248600612,804,4.40117218524909,718,4.3806968874798,1522,1.55834908114918,1.93884705667165,1.10097773395777,1.09746059811603,0.701120148988032,0.682864372161083,1.04072522115411,0.661524860531049,2.12879470457641,18257,52.6762270248435,16401,47.3237729751565,34658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,91.654101,82.20098,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2007,28.329,NA,NA,50.0127356087621,43.1227712684666,NA,21.392,NA,NA,NA,NA,3.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.633,NA,NA,NA,NA,NA,NA,NA,82.04,74.763,78.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.381,98.804,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.3241759816624,NA,99.3241759816624,28.7456667845773,5076,27.1899520634156,5082,30.4883902321954,10158,9.33022682841916,10.4097918041639,9.2498861840872,10.6647867042659,8.60983905090919,9.41381172376553,7.45293377252885,7.52984940301194,66.6614785992218,12739,68.2306312096623,10818,64.9037019259615,23556,6.70576578024156,6.51886962260755,7.32171072011998,6.32087358252835,7.9965721325085,6.27587448251035,9.38914330092927,7.87184256314874,9.27666639886452,9.10181796364073,7.58147880346,7.73984520309594,5.47923194344019,5.78988420231596,4.04649045285343,4.52690946181077,2.980637904716,3.22793544129118,4.59285461620092,855,4.57941672692215,768,4.60790784184316,1623,1.71393374574864,2.08795824083518,1.07656463404837,1.13097738045239,0.760558099675959,0.707985840283195,1.02836024744918,0.680986380272395,1.94019944267035,18670,52.8354745599638,16667,47.1645254400362,35337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,91.826975,82.478044,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2008,26.909,NA,NA,49.5570436301626,42.3408060558167,NA,20.483,NA,NA,NA,NA,3.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,NA,NA,NA,NA,NA,NA,NA,82.216,74.92,78.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.415,97.122,NA,NA,NA,NA,NA,NA,NA,-17,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.3753988805353,NA,99.3753988805353,28.3108070526726,5076,26.6468951761062,5104,30.1857218903413,10180,8.70820429373786,9.84503460105282,9.39320770563225,10.6790086946235,8.54548317673613,9.66167859466493,7.73187759172747,7.7275684627669,66.8627287390845,13059,68.5475828040523,10983,64.9642160052049,24043,6.32775182405123,6.27254983143077,7.38019001627211,6.44999112793517,7.8709779014225,6.16608505352812,9.13075429111333,7.43183296859289,9.31972074956695,8.90459572957946,7.85785523069655,8.07357899095049,5.65849561702798,5.86739220441237,4.14938848354417,4.71698113207547,3.12057109862999,3.35364050393328,4.82646420824295,916,4.80552201984148,820,4.85006210445378,1735,1.88441551624587,2.23280298101378,1.07868353367277,1.17406991187082,0.813605585008661,0.727509315668067,1.02881738491418,0.715679895901106,1.7421017059346,19051,52.9812559096724,16907,47.0187440903276,35958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,91.991834,82.749608,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2009,25.848,NA,NA,48.7630924725924,41.1623262827567,NA,19.585,NA,NA,NA,NA,3.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.464,NA,NA,NA,NA,NA,NA,NA,82.376,75.122,78.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.551,95.027,NA,NA,NA,NA,NA,NA,NA,-82,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,99.4266217794083,NA,99.4266217794083,27.6707074857886,5026,25.9165678337544,5075,29.6589613957158,10100,7.94358789253855,9.17034396095736,9.40287732687052,10.5292381425524,8.57010261434538,9.95937929220609,8.04156138812974,8.05692743797306,67.2200534209986,13378,68.9888103955035,11158,65.2152313042462,24537,6.02794822874233,6.05803793214296,7.31707317073171,6.46424501008212,7.84561439694735,6.20415558607791,8.91816634868252,7.01072503579883,9.34615582942299,8.63555334755545,8.11117413499716,8.42222157281043,5.8861444851235,6.00543557672638,4.24379930902903,4.88032964142728,3.25117310369721,3.47760016365177,5.10923909321279,988,5.09462177074202,877,5.12580730003799,1865,2.09096065590677,2.35541658143137,1.09575620069097,1.29168006078494,0.876604960552777,0.73643297583214,1.0312999535915,0.742277681989538,1.50154629037256,19392,53.1271402350492,17110,46.8728597649508,36502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,92.139511,83.092156,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2010,25.24,NA,NA,48.5230707233528,40.4996977634495,NA,18.976,NA,NA,NA,NA,3.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,82.572,75.374,78.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.507,92.525,NA,NA,NA,NA,NA,NA,NA,-357,NA,NA,NA,NA,NA,NA,NA,0,NA,0,99.9978182352951,NA,99.9978182352951,99.4778446782813,NA,99.4778446782813,27.2669307575429,4974,25.3672345200449,5076,29.4260869565217,10050,7.58441293481587,9.00579710144928,9.21401611751505,10.2869565217391,8.56880546771396,10.133333333333301,7.90064266041008,8.13913043478261,67.3296071196006,13570,69.2135060695705,11245,65.1884057971015,24815,6.11547485463634,5.99710144927536,7.18657553810058,6.31884057971015,7.82158522901153,6.2,8.66826481689279,6.77391304347826,9.26757115168826,8.3072463768116,8.25767622156483,8.55072463768116,6.17923084769968,6.24057971014493,4.45526879526675,5.04347826086957,3.3612159542997,3.61739130434783,5.40346212285652,1063,5.41925941038458,929,5.38550724637681,1991,2.3079669488932,2.45217391304348,1.14760787514026,1.43188405797101,0.907885341222075,0.75072463768116,1.05579924512904,0.75072463768116,0.965137402578689,19606,53.196223138702,17250,46.803776861298,36856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,92.318028,83.506418,NA,NA,NA,NA,NA,NA,NA
MAF,MF,St. Martin (French part),2011,26.868,NA,NA,49.1770292567105,40.685741880961,NA,19.064,NA,NA,NA,NA,3.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.424,NA,NA,NA,NA,NA,NA,NA,82.798,75.621,79.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.307,90.117,NA,NA,NA,NA,NA,NA,NA,-359,NA,NA,NA,NA,NA,NA,NA,0,NA,0,99.9920582504616,NA,99.9920582504616,99.5290675771542,NA,99.5290675771542,27.2738308806669,4970,25.2092315495815,5140,29.6193851384447,10110,7.76819680446361,9.39291785518771,8.85112858229774,10.0815397470251,8.58990616282019,10.1449275362319,7.18488460563023,7.92923617714006,67.0340046130812,13608,69.0261222419477,11240,64.7707955167545,24849,6.48744610702511,6.0362462903737,7.12401724575197,6.03336502722793,7.73269084453462,6.16302186878727,8.34897286330205,6.64131155098395,9.09206188181588,7.98398017690956,8.33121988333756,8.45362606966894,6.46462084707076,6.48572334111274,4.75019021049962,5.24101766214308,3.51001775297996,3.80326735240729,5.69216450625194,1137,5.76464620847071,974,5.60981934480076,2110,2.46512807506974,2.55279914714611,1.30103981739792,1.5069006252341,0.89018513821963,0.795228628230616,1.10829317778341,0.754890944189933,0.57626131737988,19715,53.1846016887426,17354,46.8153983112574,37069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,92.523207,83.906257,NA,NA,NA,NA,NA,NA,NA
